series_success,fourth_down_converted,fourth_down_failed,first_down,yardline_100,ydstogo,yards_gained,score_differential,game_seconds_remaining,epa,wp,rush_attempt,pass_attempt,ep
0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,2557.0,-4.137538,0.6960805,1.0,0.0,4.6162424
0.0,0.0,1.0,0.0,16.0,5.0,0.0,-4.0,37.0,-2.542086,0.42727065,0.0,1.0,2.4653304
0.0,0.0,1.0,0.0,34.0,7.0,0.0,0.0,3242.0,-3.2457356,0.42361683,0.0,1.0,0.7877847
1.0,1.0,0.0,1.0,10.0,1.0,3.0,-17.0,900.0,1.7482388,0.04211314,1.0,0.0,3.8107796
0.0,0.0,1.0,0.0,69.0,4.0,-2.0,-7.0,3077.0,-3.3021653,0.19600594,1.0,0.0,-1.2020934
0.0,0.0,1.0,0.0,28.0,4.0,-14.0,-25.0,1088.0,-4.30321,0.0042324713,0.0,1.0,1.8695372
0.0,0.0,1.0,0.0,48.0,6.0,0.0,-32.0,611.0,-2.5286534,7.3249044e-05,0.0,1.0,-0.083241664
1.0,1.0,0.0,1.0,41.0,1.0,2.0,7.0,3014.0,2.1737869,0.7290711,1.0,0.0,1.5185884
0.0,0.0,1.0,0.0,11.0,3.0,2.0,-3.0,706.0,-3.2949069,0.4626071,0.0,1.0,2.9290786
1.0,1.0,0.0,1.0,70.0,1.0,4.0,-3.0,56.0,0.87872213,0.17599687,1.0,0.0,0.10803408
0.0,0.0,1.0,0.0,76.0,20.0,0.0,-3.0,13.0,-2.3915854,0.05042972,0.0,1.0,-0.046518113
0.0,0.0,1.0,0.0,1.0,1.0,0.0,-4.0,2541.0,-4.58761,0.42114598,0.0,1.0,4.581927
1.0,1.0,0.0,1.0,39.0,1.0,2.0,1.0,1976.0,1.9661847,0.51631445,1.0,0.0,1.2826098
0.0,0.0,1.0,0.0,39.0,3.0,0.0,-12.0,1166.0,-2.9345727,0.108180374,0.0,1.0,0.68071103
1.0,1.0,0.0,1.0,66.0,1.0,2.0,-7.0,2880.0,2.1788604,0.35448828,1.0,0.0,-0.024465824
